,agency_index,fiscal_year,base_and_all_options_value
0, RAILROAD RETIREMENT BOARD,2002,0.0
1, ARMED FORCES RETIREMENT HOME,2002,0.0
2, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2003,0.0
3, ARMED FORCES RETIREMENT HOME,2001,0.0
4, ARMED FORCES RETIREMENT HOME,2000,0.0
5, United States Soldiers' and Airmen's Home,2003,0.0
6, United States Soldiers' and Airmen's Home,2002,0.0
7, United States Soldiers' and Airmen's Home,2000,0.0
8, NATIONAL MEDIATION BOARD,2000,0.0
9, NATIONAL MEDIATION BOARD,2001,0.0
10, NATIONAL MEDIATION BOARD,2002,0.0
11, NATIONAL MEDIATION BOARD,2003,0.0
12, NATIONAL GALLERY OF ART,2002,0.0
13, AMERICAN BATTLE MONUMENTS COMMISSION,2003,0.0
14, AMERICAN BATTLE MONUMENTS COMMISSION,2001,0.0
15, AMERICAN BATTLE MONUMENTS COMMISSION,2000,0.0
16, FEDERAL ELECTION COMMISSION,2001,0.0
17, SMALL BUSINESS ADMINISTRATION,2000,0.0
18, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2000,0.0
19, NATIONAL GALLERY OF ART,2000,0.0
20, ARMED FORCES RETIREMENT HOME,2003,0.0
21, FEDERAL MARITIME COMMISSION,2003,0.0
22, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2000,0.0
23, NATIONAL ENDOWMENT FOR THE HUMANITIES,2002,0.0
24, FEDERAL ELECTION COMMISSION,2002,0.0
25, INTERNATIONAL TRADE COMMISSION,2003,0.0
26, INTERNATIONAL TRADE COMMISSION,2002,0.0
27, INTERNATIONAL TRADE COMMISSION,2001,0.0
28, COMMODITY FUTURES TRADING COMMISSION,2001,0.0
29, NATIONAL TRANSPORTATION SAFETY BOARD,2003,0.0
30, SELECTIVE SERVICE SYSTEM,2002,0.0
31, SELECTIVE SERVICE SYSTEM,2001,0.0
32, SELECTIVE SERVICE SYSTEM,2000,0.0
33, NATIONAL ENDOWMENT FOR THE ARTS,2003,0.0
34, INTERNATIONAL TRADE COMMISSION,2000,0.0
35, NATIONAL ENDOWMENT FOR THE HUMANITIES,2000,0.0
36, NATIONAL SCIENCE FOUNDATION,2001,0.0
37, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2000,0.0
38, NATIONAL ENDOWMENT FOR THE ARTS,2002,0.0
39, NATIONAL ENDOWMENT FOR THE ARTS,2001,0.0
40, NATIONAL ENDOWMENT FOR THE HUMANITIES,2001,0.0
41, FEDERAL ENERGY REGULATORY COMMISSION,2000,0.0
42, NATIONAL ENDOWMENT FOR THE ARTS,2000,0.0
43, MERIT SYSTEMS PROTECTION BOARD,2000,0.0
44, FEDERAL TRADE COMMISSION,2000,0.0
45, NATIONAL GALLERY OF ART,2001,0.0
46, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2001,0.0
47, FEDERAL EMERGENCY MANAGEMENT AGENCY,2000,0.0
48, NATIONAL LABOR RELATIONS BOARD,2001,0.0
