,agency_index,fiscal_year,base_and_all_options_value
0, Federal Trade Commission,2014.0,0.0
1, NUCLEAR REGULATORY COMMISSION,2014.0,0.0
2, COMMODITY FUTURES TRADING COMMISSION,2014.0,0.0
3, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2014.0,0.0
4, NATIONAL SCIENCE FOUNDATION,2014.0,0.0
5, Securities and Exchange Commission,2010.0,0.0
6, Environmental Protection Agency,2010.0,570.0
7, NATIONAL LABOR RELATIONS BOARD,2014.0,3000.0
8, Pretrial Services Agency - CSOSA,2013.0,8127.85
9, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2013.0,9702.0
10, SMALL BUSINESS ADMINISTRATION,2014.0,14400.0
11, Occupational Safety and Health Review Commission,2016.0,14416.0
12, FEDERAL MEDIATION AND CONCILIATION SERVICE,2015.0,27273.95
13, FEDERAL LABOR RELATIONS AUTHORITY,2016.0,30178.18
14, NATIONAL CAPITAL PLANNING COMMISSION,2013.0,45203.53
15, Broadcasting Board of Governors,2014.0,45250.0
16, Pretrial Services Agency - CSOSA,2011.0,49914.0
17, RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,2011.0,60000.0
18, Broadcasting Board of Governors,2010.0,66695.0
19, Smithsonian Institution,2014.0,109229.0
20, MERIT SYSTEMS PROTECTION BOARD,2016.0,110617.56
21, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2014.0,154792.84
22, ELECTION ASSISTANCE COMMISSION,2011.0,199435.63999999998
23, SELECTIVE SERVICE SYSTEM,2013.0,271394.0
24, CONSUMER PRODUCT SAFETY COMMISSION,2014.0,284355.0
25, INTERNATIONAL TRADE COMMISSION,2014.0,353526.6
26, LIBRARY OF CONGRESS,2012.0,395000.0
27, FEDERAL MARITIME COMMISSION,2013.0,430208.87999999995
28, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2016.0,440765.32999999996
29, NATIONAL ENDOWMENT FOR THE ARTS,2015.0,511526.93000000005
30, NATIONAL CAPITAL PLANNING COMMISSION,2012.0,615893.35
31, Chemical Safety and Hazard Investigation Board,2016.0,641954.36
32, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2015.0,665289.34
33, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2015.0,680453.8
34, MERIT SYSTEMS PROTECTION BOARD,2015.0,697097.7899999999
35, Department of Energy,2010.0,729256.26
36, Chemical Safety and Hazard Investigation Board,2015.0,823266.7200000001
37, FEDERAL LABOR RELATIONS AUTHORITY,2012.0,851595.72
38, NATIONAL ENDOWMENT FOR THE HUMANITIES,2015.0,886803.0
39, Pretrial Services Agency - CSOSA,2016.0,998921.55
40, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2016.0,1052673.0
41, LIBRARY OF CONGRESS,2010.0,1150000.0
42, NATIONAL MEDIATION BOARD,2012.0,1331356.8699999999
43, NATIONAL MEDIATION BOARD,2013.0,1343778.8699999996
44, LIBRARY OF CONGRESS,2016.0,1350000.0
45, LIBRARY OF CONGRESS,2011.0,1360000.0
46, OFFICE OF PERSONNEL MANAGEMENT,2014.0,1407196.64
47, NATIONAL TRANSPORTATION SAFETY BOARD,2015.0,1412213.9600000002
48, NATIONAL ENDOWMENT FOR THE ARTS,2013.0,1422443.19
49, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2012.0,1521323.74
50, Chemical Safety and Hazard Investigation Board,2012.0,1555416.58
51, NATIONAL CAPITAL PLANNING COMMISSION,2011.0,1567034.12
52, Pretrial Services Agency - CSOSA,2012.0,1580086.53
53, NATIONAL MEDIATION BOARD,2011.0,1611943.4200000002
54, NATIONAL TRANSPORTATION SAFETY BOARD,2016.0,1619738.08
55, Environmental Protection Agency,2014.0,1623865.24
56, NATIONAL ENDOWMENT FOR THE ARTS,2012.0,1653142.1300000001
57, INTERNATIONAL TRADE COMMISSION,2010.0,1678612.82
58, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2015.0,1732672.96
59, FEDERAL MARITIME COMMISSION,2011.0,1775099.47
60, FEDERAL LABOR RELATIONS AUTHORITY,2015.0,1796553.4
61, FEDERAL ELECTION COMMISSION,2016.0,1868440.76
62, FEDERAL MEDIATION AND CONCILIATION SERVICE,2016.0,1967902.9000000004
63, MERIT SYSTEMS PROTECTION BOARD,2013.0,1972378.9800000002
64, FEDERAL COMMUNICATIONS COMMISSION,2014.0,2009050.42
65, Chemical Safety and Hazard Investigation Board,2013.0,2022355.8199999998
66, FEDERAL MARITIME COMMISSION,2012.0,2263452.5599999996
67, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2011.0,2408495.0900000003
68, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2015.0,2536616.7100000004
69, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2011.0,2707498.07
70, NATIONAL ENDOWMENT FOR THE ARTS,2011.0,2714351.9899999998
71, FEDERAL MEDIATION AND CONCILIATION SERVICE,2011.0,2846266.38
72, FEDERAL LABOR RELATIONS AUTHORITY,2013.0,2931165.890000001
73, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2012.0,3013997.999999999
74, FEDERAL MARITIME COMMISSION,2016.0,3163619.7399999998
75, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2012.0,3182767.45
76, SELECTIVE SERVICE SYSTEM,2012.0,3223499.180000001
77, FEDERAL MARITIME COMMISSION,2015.0,3239207.18
78, NATIONAL LABOR RELATIONS BOARD,2016.0,3693322.8699999996
79, NATIONAL GALLERY OF ART,2015.0,3851308.25
80, CONSUMER FINANCIAL PROTECTION BUREAU,2011.0,3973358.0000000005
81, MERIT SYSTEMS PROTECTION BOARD,2011.0,4172547.7699999996
82, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2013.0,4305389.140000001
83, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2016.0,4535556.23
84, FEDERAL HOUSING FINANCE AGENCY,2012.0,4558449.56
85, CONSUMER FINANCIAL PROTECTION BUREAU,2014.0,4975751.11
86, NATIONAL ENDOWMENT FOR THE HUMANITIES,2013.0,5141540.5
87, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2010.0,5242100.68
88," EDUCATION, DEPARTMENT OF",2014.0,5320274.58
89, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2013.0,5493881.35
90," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2015.0,5556398.0
91, LIBRARY OF CONGRESS,2015.0,5645000.0
92, NATIONAL ENDOWMENT FOR THE HUMANITIES,2012.0,5783495.0
93, SELECTIVE SERVICE SYSTEM,2011.0,5826230.790000001
94, NATIONAL ENDOWMENT FOR THE HUMANITIES,2011.0,5897559.0
95, FEDERAL MEDIATION AND CONCILIATION SERVICE,2013.0,6214099.340000002
96, PEACE CORPS,2015.0,6467234.62
97, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2015.0,6644608.180000002
98, MERIT SYSTEMS PROTECTION BOARD,2012.0,6812198.600000001
99, Securities and Exchange Commission,2014.0,7888078.3
100, FEDERAL ENERGY REGULATORY COMMISSION,2015.0,7964669.309999999
101, Millennium Challenge Corporation,2010.0,7992559.24
102, Department of Health and Human Services,2010.0,8114815.249999999
103, U.S. Agency for International Development,2010.0,8297701.51
104, FEDERAL MEDIATION AND CONCILIATION SERVICE,2012.0,8306345.16
105, Department of Homeland Security,2010.0,8609116.92
106, National Aeronautics and Space Administration,2010.0,9495953.09
107, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2013.0,9640245.49
108, FEDERAL LABOR RELATIONS AUTHORITY,2011.0,9710822.33
109, NATIONAL LABOR RELATIONS BOARD,2015.0,9950200.879999999
110, NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,2015.0,10230639.900000002
111, INTERNATIONAL TRADE COMMISSION,2016.0,10323021.580000002
112, U.S. Agency for International Development,2014.0,10367295.14
113, NATIONAL GALLERY OF ART,2010.0,10456261.42
114, INTERNATIONAL TRADE COMMISSION,2015.0,10914011.15
115, LIBRARY OF CONGRESS,2014.0,11000000.0
116, COMMODITY FUTURES TRADING COMMISSION,2016.0,11220161.67
117, Department of Energy,2014.0,12001214.469999999
118, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2014.0,12030077.3
119, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2011.0,12047623.989999996
120, NATIONAL TRANSPORTATION SAFETY BOARD,2011.0,12482083.969999997
121, CONSUMER PRODUCT SAFETY COMMISSION,2016.0,12655365.489999996
122, GOVERNMENT ACCOUNTABILITY OFFICE,2010.0,13273286.62
123, INTERNATIONAL TRADE COMMISSION,2011.0,13504277.710000005
124, FEDERAL ELECTION COMMISSION,2015.0,13915431.599999996
125, OVERSEAS PRIVATE INVESTMENT CORPORATION,2016.0,13964106.119999997
126, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2011.0,14370600.39
127, INTERNATIONAL TRADE COMMISSION,2012.0,15993495.600000003
128," TRANSPORTATION, DEPARTMENT OF",2014.0,16083906.719999999
129, RAILROAD RETIREMENT BOARD,2012.0,16552006.700000003
130, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2010.0,16618613.429999998
131, GOVERNMENT ACCOUNTABILITY OFFICE,2016.0,17132994.959999997
132, FEDERAL ELECTION COMMISSION,2013.0,17203867.99
133, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2013.0,17309306.439999998
134, NATIONAL TRANSPORTATION SAFETY BOARD,2013.0,17360011.630000003
135, INTERNATIONAL TRADE COMMISSION,2013.0,17695944.400000002
136, FEDERAL ELECTION COMMISSION,2011.0,18866115.439999994
137, NATIONAL LABOR RELATIONS BOARD,2011.0,18935087.34999999
138, NATIONAL TRANSPORTATION SAFETY BOARD,2012.0,19241797.070000004
139, NATIONAL LABOR RELATIONS BOARD,2012.0,20167609.390000015
140, RAILROAD RETIREMENT BOARD,2016.0,20664107.799999993
141, Federal Trade Commission,2016.0,22137871.860000003
142, NATIONAL LABOR RELATIONS BOARD,2013.0,22153927.820000004
143, RAILROAD RETIREMENT BOARD,2011.0,23304808.530000005
144, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2016.0,23548912.080000006
145, OVERSEAS PRIVATE INVESTMENT CORPORATION,2011.0,25203930.919999998
146, GOVERNMENT ACCOUNTABILITY OFFICE,2011.0,26164453.51
147, NATIONAL GALLERY OF ART,2013.0,26341973.930000003
148, RAILROAD RETIREMENT BOARD,2013.0,26690850.909999993
149, National Aeronautics and Space Administration,2014.0,26902124.629999995
150, CONSUMER PRODUCT SAFETY COMMISSION,2015.0,27017749.960000005
151, OVERSEAS PRIVATE INVESTMENT CORPORATION,2012.0,27437219.909999996
152, CONSUMER FINANCIAL PROTECTION BUREAU,2016.0,27584586.740000006
153, PEACE CORPS,2013.0,27683358.61
154, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2012.0,28769004.64
155, FEDERAL COMMUNICATIONS COMMISSION,2016.0,29111872.509999994
156, CONSUMER FINANCIAL PROTECTION BUREAU,2012.0,29155406.359999992
157, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2012.0,29212296.31000001
158, CONSUMER FINANCIAL PROTECTION BUREAU,2015.0,29701492.8
159, PEACE CORPS,2012.0,30420125.78999999
160, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2012.0,31745257.02000001
161, OVERSEAS PRIVATE INVESTMENT CORPORATION,2015.0,31950844.339999996
162, FEDERAL ENERGY REGULATORY COMMISSION,2013.0,32099565.039999995
163, PEACE CORPS,2014.0,32185296.88
164, NATIONAL GALLERY OF ART,2011.0,32329257.28999999
165, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2016.0,32376440.119999997
166, PEACE CORPS,2011.0,32630869.17
167, CONSUMER PRODUCT SAFETY COMMISSION,2011.0,34109781.53
168, CONSUMER PRODUCT SAFETY COMMISSION,2012.0,34696054.83999999
169, COMMODITY FUTURES TRADING COMMISSION,2015.0,34956852.77000001
170, PEACE CORPS,2010.0,35591042.809999995
171, FEDERAL ENERGY REGULATORY COMMISSION,2011.0,38459489.269999996
172, CONSUMER PRODUCT SAFETY COMMISSION,2013.0,38735682.780000016
173, FEDERAL ELECTION COMMISSION,2012.0,38900640.0
174, NATIONAL GALLERY OF ART,2012.0,39696661.43
175, Millennium Challenge Corporation,2015.0,40328114.77999999
176, RAILROAD RETIREMENT BOARD,2015.0,41192087.420000024
177, FEDERAL ENERGY REGULATORY COMMISSION,2012.0,42536784.79999998
178, EXECUTIVE OFFICE OF THE PRESIDENT,2016.0,43633487.10000001
179, NATIONAL SCIENCE FOUNDATION,2016.0,43928944.45999999
180, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2016.0,45268092.63999999
181, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2011.0,47555794.79000002
182, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2013.0,49673234.98000003
183, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2013.0,50303314.32
184, FEDERAL COMMUNICATIONS COMMISSION,2010.0,50438120.279999994
185, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2015.0,51495819.940000005
186, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2011.0,51694589.38999999
187, CONSUMER FINANCIAL PROTECTION BUREAU,2013.0,52624609.69
188, Millennium Challenge Corporation,2016.0,52730123.99
189, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2012.0,54608356.95000002
190, Federal Trade Commission,2010.0,54707358.34999999
191, General Services Administration,2014.0,55157215.860000044
192, GOVERNMENT ACCOUNTABILITY OFFICE,2012.0,57292609.99999999
193, GOVERNMENT ACCOUNTABILITY OFFICE,2014.0,58042168.06999999
194, Broadcasting Board of Governors,2013.0,58711577.229999974
195, Broadcasting Board of Governors,2016.0,58895416.70000001
196, OVERSEAS PRIVATE INVESTMENT CORPORATION,2013.0,59409503.080000006
197, LIBRARY OF CONGRESS,2013.0,60850000.0
198, COMMODITY FUTURES TRADING COMMISSION,2011.0,61000877.68000001
199, EXECUTIVE OFFICE OF THE PRESIDENT,2012.0,64492836.730000034
200, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2011.0,64691856.05000001
201, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2011.0,65045891.98000003
202, SMALL BUSINESS ADMINISTRATION,2016.0,65620842.0
203, Federal Trade Commission,2012.0,66446135.36000002
204, Broadcasting Board of Governors,2015.0,67520466.05999997
205, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2012.0,70479915.55999997
206, Federal Trade Commission,2015.0,72456418.78000005
207, PENSION BENEFIT GUARANTY CORPORATION,2015.0,73128832.96000001
208, Social Security Administration,2014.0,74199911.63999991
209, EXECUTIVE OFFICE OF THE PRESIDENT,2010.0,77269921.24
210, Federal Trade Commission,2011.0,79149950.63000001
211, Department of Health and Human Services,2014.0,79533003.07999995
212, NUCLEAR REGULATORY COMMISSION,2016.0,79668291.92999999
213, Millennium Challenge Corporation,2013.0,81031590.14000003
214, FEDERAL COMMUNICATIONS COMMISSION,2013.0,82499537.42000006
215, COMMODITY FUTURES TRADING COMMISSION,2012.0,86866800.47000001
216, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2013.0,87121663.59
217, GOVERNMENT ACCOUNTABILITY OFFICE,2015.0,87244086.43
218, EXECUTIVE OFFICE OF THE PRESIDENT,2014.0,94645036.30999994
