,agency_index,fiscal_year,base_and_all_options_value
0, SELECTIVE SERVICE SYSTEM,2002,0.0
1, FEDERAL MARITIME COMMISSION,2003,0.0
2, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2001,0.0
3, SMALL BUSINESS ADMINISTRATION,2000,0.0
4, AMERICAN BATTLE MONUMENTS COMMISSION,2000,0.0
5, AMERICAN BATTLE MONUMENTS COMMISSION,2001,0.0
6, AMERICAN BATTLE MONUMENTS COMMISSION,2003,0.0
7, United States Soldiers' and Airmen's Home,2000,0.0
8, United States Soldiers' and Airmen's Home,2002,0.0
9, United States Soldiers' and Airmen's Home,2003,0.0
10, ARMED FORCES RETIREMENT HOME,2000,0.0
11, ARMED FORCES RETIREMENT HOME,2001,0.0
12, ARMED FORCES RETIREMENT HOME,2002,0.0
13, ARMED FORCES RETIREMENT HOME,2003,0.0
14, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2000,0.0
15, FEDERAL MARITIME COMMISSION,2002,0.0
16, FEDERAL TRADE COMMISSION,2003,0.0
17, FEDERAL TRADE COMMISSION,2000,0.0
18, FEDERAL ENERGY REGULATORY COMMISSION,2000,0.0
19, SELECTIVE SERVICE SYSTEM,2000,0.0
20, SELECTIVE SERVICE SYSTEM,2001,0.0
21, NATIONAL ENDOWMENT FOR THE ARTS,2002,0.0
22, FEDERAL COMMUNICATIONS COMMISSION,2001,0.0
23, FEDERAL ELECTION COMMISSION,2001,0.0
24, FEDERAL ELECTION COMMISSION,2002,0.0
25, COMMODITY FUTURES TRADING COMMISSION,2001,0.0
26, NATIONAL TRANSPORTATION SAFETY BOARD,2003,0.0
27, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2000,0.0
28, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2003,0.0
29, NATIONAL MEDIATION BOARD,2000,0.0
30, NATIONAL MEDIATION BOARD,2001,0.0
31, FEDERAL TRADE COMMISSION,2002,0.0
32, NATIONAL MEDIATION BOARD,2002,0.0
33, NATIONAL GALLERY OF ART,2000,0.0
34, NATIONAL GALLERY OF ART,2002,0.0
35, NATIONAL ENDOWMENT FOR THE ARTS,2001,0.0
36, NATIONAL ENDOWMENT FOR THE ARTS,2000,0.0
37, National Foundation on the Arts and the Humanities,2003,0.0
38, National Foundation on the Arts and the Humanities,2000,0.0
39, FEDERAL EMERGENCY MANAGEMENT AGENCY,2003,0.0
40, FEDERAL EMERGENCY MANAGEMENT AGENCY,2002,0.0
41, FEDERAL EMERGENCY MANAGEMENT AGENCY,2001,0.0
42, FEDERAL EMERGENCY MANAGEMENT AGENCY,2000,0.0
43, SECURITIES AND EXCHANGE COMMISSION,2000,0.0
44, NATIONAL ENDOWMENT FOR THE HUMANITIES,2000,0.0
45, NATIONAL ENDOWMENT FOR THE HUMANITIES,2001,0.0
46, NATIONAL ENDOWMENT FOR THE HUMANITIES,2002,0.0
