,agency_index,fiscal_year,base_and_all_options_value
0, Department of Defense,2007.0,-3264921247425.6113
1, Department of Defense,2012.0,-1055188030460.2644
2," HOMELAND SECURITY, DEPARTMENT OF",2013.0,-92496182606.93005
3, SOCIAL SECURITY ADMINISTRATION,2006.0,-89538446084.91992
4, Department of Defense,2016.0,-75415589974.15291
5, Department of Health and Human Services,2012.0,-70809928440.13972
6, Department of Defense,2009.0,-64316167268.50141
7, Department of Health and Human Services,2013.0,-45894051304.670044
8, AGENCY FOR INTERNATIONAL DEVELOPMENT,2012.0,-39645498982.95998
9," ENERGY, DEPARTMENT OF",2003.0,-27762682029.340004
10, AGENCY FOR INTERNATIONAL DEVELOPMENT,2011.0,-20258562704.270016
11, National Aeronautics and Space Administration,2015.0,-18584834576.109985
12, General Services Administration,2015.0,-16055070745.45998
13, National Aeronautics and Space Administration,2011.0,-12097917047.490015
14," ENERGY, DEPARTMENT OF",2007.0,-10742413861.619997
15," HOMELAND SECURITY, DEPARTMENT OF",2016.0,-9665175456.58
16," ENERGY, DEPARTMENT OF",2005.0,-8864818212.119997
17, National Aeronautics and Space Administration,2004.0,-8454174805.539999
18," HOMELAND SECURITY, DEPARTMENT OF",2009.0,-4683720824.610047
19," TREASURY, DEPARTMENT OF THE",2005.0,-2939780925.9299912
20," ENERGY, DEPARTMENT OF",2006.0,-2196345374.119995
21," TREASURY, DEPARTMENT OF THE",2009.0,-1699312451.720008
22, AGENCY FOR INTERNATIONAL DEVELOPMENT,2013.0,-991290613.94
23, National Aeronautics and Space Administration,2010.0,-985104964.5899999
24, National Aeronautics and Space Administration,2005.0,-775803806.5099995
25, Department of Defense,2010.0,-348701066.99
26," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2016.0,-326133780.9300001
27, AGENCY FOR INTERNATIONAL DEVELOPMENT,2015.0,-308452348.1899993
28, Department of Defense,2015.0,-276363941.7699478
29," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2012.0,-170712691.84000006
30, SMITHSONIAN INSTITUTION,2004.0,-79925368.77
31, NATIONAL SCIENCE FOUNDATION,2011.0,-60190570.89000003
32, FEDERAL MARITIME COMMISSION,2013.0,-127554.35999999999
33, FEDERAL TRADE COMMISSION,2014.0,-21501.53
34, BROADCASTING BOARD OF GOVERNORS,2001.0,-21089.8
35, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2010.0,-19479.66
36, SMALL BUSINESS ADMINISTRATION,2014.0,-13021.080000000002
37, Department of Transportation,2010.0,-4262.16
38, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2009.0,-3643.08
39, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2010.0,-1300.0
40, NATIONAL MEDIATION BOARD,2002.0,0.0
41, NATIONAL SCIENCE FOUNDATION,2014.0,0.0
42, SECURITIES AND EXCHANGE COMMISSION,2000.0,0.0
43, SECURITIES AND EXCHANGE COMMISSION,2010.0,0.0
44, FEDERAL EMERGENCY MANAGEMENT AGENCY,2000.0,0.0
45, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2000.0,0.0
46, FEDERAL EMERGENCY MANAGEMENT AGENCY,2007.0,0.0
47, National Foundation on the Arts and the Humanities,2000.0,0.0
48, National Foundation on the Arts and the Humanities,2003.0,0.0
49, NATIONAL ENDOWMENT FOR THE ARTS,2000.0,0.0
50, NATIONAL ENDOWMENT FOR THE ARTS,2001.0,0.0
51, NATIONAL ENDOWMENT FOR THE ARTS,2002.0,0.0
52, NATIONAL ENDOWMENT FOR THE ARTS,2003.0,0.0
53, FEDERAL EMERGENCY MANAGEMENT AGENCY,2002.0,0.0
54, FEDERAL EMERGENCY MANAGEMENT AGENCY,2003.0,0.0
55, NATIONAL MEDIATION BOARD,2003.0,0.0
56, NATIONAL MEDIATION BOARD,2001.0,0.0
57, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2001.0,0.0
58, FEDERAL TRADE COMMISSION,2000.0,0.0
59, FEDERAL TRADE COMMISSION,2002.0,0.0
60, FEDERAL TRADE COMMISSION,2003.0,0.0
61, NUCLEAR REGULATORY COMMISSION,2014.0,0.0
62, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2000.0,0.0
63, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2001.0,0.0
64, NATIONAL GALLERY OF ART,2000.0,0.0
65, NATIONAL GALLERY OF ART,2001.0,0.0
66, NATIONAL GALLERY OF ART,2002.0,0.0
67, INTERNATIONAL TRADE COMMISSION,2000.0,0.0
68, INTERNATIONAL TRADE COMMISSION,2001.0,0.0
69, INTERNATIONAL TRADE COMMISSION,2002.0,0.0
70, INTERNATIONAL TRADE COMMISSION,2003.0,0.0
71, MERIT SYSTEMS PROTECTION BOARD,2000.0,0.0
72, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2000.0,0.0
73, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2014.0,0.0
74, NATIONAL SCIENCE FOUNDATION,2001.0,0.0
75, NATIONAL ENDOWMENT FOR THE HUMANITIES,2002.0,0.0
76, RAILROAD RETIREMENT BOARD,2002.0,0.0
77, RAILROAD RETIREMENT BOARD,2001.0,0.0
78, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2000.0,0.0
79, COMMODITY FUTURES TRADING COMMISSION,2001.0,0.0
80, FEDERAL ELECTION COMMISSION,2002.0,0.0
81, FEDERAL ELECTION COMMISSION,2001.0,0.0
82, SELECTIVE SERVICE SYSTEM,2002.0,0.0
83, SELECTIVE SERVICE SYSTEM,2001.0,0.0
84, United States Soldiers' and Airmen's Home,2000.0,0.0
85, United States Soldiers' and Airmen's Home,2002.0,0.0
86, United States Soldiers' and Airmen's Home,2003.0,0.0
87, ARMED FORCES RETIREMENT HOME,2000.0,0.0
88, ARMED FORCES RETIREMENT HOME,2001.0,0.0
89, ARMED FORCES RETIREMENT HOME,2002.0,0.0
90, ARMED FORCES RETIREMENT HOME,2003.0,0.0
91, SELECTIVE SERVICE SYSTEM,2000.0,0.0
92, FEDERAL ENERGY REGULATORY COMMISSION,2000.0,0.0
93, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2001.0,0.0
94, AMERICAN BATTLE MONUMENTS COMMISSION,2003.0,0.0
95, AMERICAN BATTLE MONUMENTS COMMISSION,2001.0,0.0
96, SMALL BUSINESS ADMINISTRATION,2000.0,0.0
97, CONSUMER PRODUCT SAFETY COMMISSION,2001.0,0.0
98, CONSUMER PRODUCT SAFETY COMMISSION,2002.0,0.0
99, NATIONAL LABOR RELATIONS BOARD,2000.0,0.0
100, NATIONAL LABOR RELATIONS BOARD,2001.0,0.0
101, NATIONAL LABOR RELATIONS BOARD,2002.0,0.0
102, TENNESSEE VALLEY AUTHORITY,2000.0,0.0
103, FEDERAL MARITIME COMMISSION,2000.0,0.0
104, RAILROAD RETIREMENT BOARD,2000.0,0.0
105, FEDERAL MARITIME COMMISSION,2001.0,0.0
106, FEDERAL MARITIME COMMISSION,2003.0,0.0
107, BROADCASTING BOARD OF GOVERNORS,2000.0,0.0
108, NATIONAL MEDIATION BOARD,2000.0,0.0
109, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2002.0,0.0
110, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2003.0,0.0
111, NATIONAL TRANSPORTATION SAFETY BOARD,2003.0,0.0
112, COMMODITY FUTURES TRADING COMMISSION,2014.0,0.0
113, FEDERAL MARITIME COMMISSION,2002.0,0.0
114, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2002.0,0.0
115, NATIONAL ENDOWMENT FOR THE HUMANITIES,2001.0,0.0
116, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2002.0,0.0
117, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2003.0,0.0
118, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2001.0,0.0
119, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002.0,0.0
120, EXECUTIVE OFFICE OF THE PRESIDENT,2000.0,0.0
121, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2000.0,0.0
122, EXECUTIVE OFFICE OF THE PRESIDENT,2001.0,0.0
123, EXECUTIVE OFFICE OF THE PRESIDENT,2002.0,0.0
124, FEDERAL ELECTION COMMISSION,2003.0,148.32
125, COMMISSION ON CIVIL RIGHTS,2000.0,374.66
126, ENVIRONMENTAL PROTECTION AGENCY,2010.0,570.0
127, CONSUMER PRODUCT SAFETY COMMISSION,2000.0,627.0
128, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2001.0,800.0
129, COMMISSION ON CIVIL RIGHTS,2001.0,1000.0
130, Pretrial Services Agency - CSOSA,2006.0,1920.74
131, MERIT SYSTEMS PROTECTION BOARD,2003.0,2967.0
132, NATIONAL LABOR RELATIONS BOARD,2014.0,3000.0
133, Pretrial Services Agency - CSOSA,2007.0,6234.84
134, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2000.0,6922.0
135, Pretrial Services Agency - CSOSA,2013.0,8127.85
136, NATIONAL TRANSPORTATION SAFETY BOARD,2002.0,9492.8
137, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2013.0,9702.0
138, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2016.0,14416.0
139, Pretrial Services Agency - CSOSA,2009.0,18612.8
140, FEDERAL TRADE COMMISSION,2001.0,20000.0
141, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2000.0,20790.0
142, SELECTIVE SERVICE SYSTEM,2004.0,24490.28
143, RAILROAD RETIREMENT BOARD,2003.0,24900.0
144, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2001.0,25000.0
145, PEACE CORPS,2000.0,26247.0
146, FEDERAL MEDIATION AND CONCILIATION SERVICE,2015.0,27273.95
147, SELECTIVE SERVICE SYSTEM,2003.0,28896.0
148, FEDERAL LABOR RELATIONS AUTHORITY,2016.0,30178.18
149, NATIONAL CAPITAL PLANNING COMMISSION,2008.0,31753.359999999997
150, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2004.0,32570.68
151, SELECTIVE SERVICE SYSTEM,2005.0,37214.44
152, NATIONAL ENDOWMENT FOR THE HUMANITIES,2003.0,37437.0
153, COMMODITY FUTURES TRADING COMMISSION,2002.0,39687.96
154, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2008.0,43669.0
155, NATIONAL SCIENCE FOUNDATION,2000.0,44000.0
156, NATIONAL CAPITAL PLANNING COMMISSION,2013.0,45203.53
157, BROADCASTING BOARD OF GOVERNORS,2014.0,45250.0
158, FEDERAL MARITIME COMMISSION,2008.0,49641.74
159, Pretrial Services Agency - CSOSA,2011.0,49914.0
160, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2004.0,50000.0
161, RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,2011.0,60000.0
162, BROADCASTING BOARD OF GOVERNORS,2010.0,62405.0
163, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2002.0,68118.0
164, AMERICAN BATTLE MONUMENTS COMMISSION,2004.0,74406.20999999999
165, CONSUMER PRODUCT SAFETY COMMISSION,2003.0,83200.0
166, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2007.0,88290.0
167, FEDERAL ELECTION COMMISSION,2000.0,90699.42
168, SMITHSONIAN INSTITUTION,2014.0,109229.0
169, MERIT SYSTEMS PROTECTION BOARD,2016.0,110617.56
170, PEACE CORPS,2001.0,116541.0
171, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2003.0,117360.0
172, ELECTION ASSISTANCE COMMISSION,2009.0,117633.22
173, OFFICE OF SPECIAL COUNSEL,2009.0,120937.6
174, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2004.0,129363.76
175, FEDERAL HOUSING FINANCE BOARD,2007.0,145906.1
176, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2014.0,154792.84
177, COMMODITY FUTURES TRADING COMMISSION,2003.0,158100.0
178, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2005.0,166387.29
179, NATIONAL MEDIATION BOARD,2004.0,176142.44999999998
180, FEDERAL TRADE COMMISSION,2004.0,199073.5
181, ELECTION ASSISTANCE COMMISSION,2011.0,199435.63999999998
182, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001.0,210000.0
183, MERIT SYSTEMS PROTECTION BOARD,2004.0,242574.23
184, NATIONAL MEDIATION BOARD,2005.0,255158.40999999997
185, SELECTIVE SERVICE SYSTEM,2013.0,271394.0
186, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2000.0,277147.9
187, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005.0,277626.67
188, INTERNATIONAL TRADE COMMISSION,2014.0,281111.78
189, CONSUMER PRODUCT SAFETY COMMISSION,2014.0,284355.0
190, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004.0,291727.0
191, National Foundation on the Arts and the Humanities,2008.0,298031.51
192, OFFICE OF SPECIAL COUNSEL,2008.0,311169.29
193, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2005.0,322584.0
194, INTERNATIONAL TRADE COMMISSION,2008.0,351061.04000000004
195, NATIONAL MEDIATION BOARD,2006.0,351456.38
196, NATIONAL LABOR RELATIONS BOARD,2003.0,357280.0
197, MILLENIUM CHALLENGE CORPORATION,2004.0,387389.92
198,,2008.0,387838.88
199, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2006.0,390979.8900000001
200, LIBRARY OF CONGRESS,2012.0,395000.0
201, NATIONAL MEDIATION BOARD,2008.0,408805.8600000001
202, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2003.0,438087.97
203, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2016.0,440765.32999999996
204, OFFICE OF SPECIAL COUNSEL,2007.0,467738.32000000007
205, NATIONAL ENDOWMENT FOR THE ARTS,2008.0,473982.83999999997
206, NATIONAL ENDOWMENT FOR THE ARTS,2004.0,481844.76
207, FEDERAL MARITIME COMMISSION,2005.0,482809.06
208, FEDERAL MARITIME COMMISSION,2004.0,507553.88
209, NATIONAL ENDOWMENT FOR THE ARTS,2015.0,511526.93000000005
210, INTERNATIONAL TRADE COMMISSION,2006.0,515507.52999999997
211, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2005.0,526822.9299999999
