,naics_code,fiscal_year,base_and_all_options_value
0, UNCLASSIFIED ESTABLISHMENTS,2011.0,0.0
1," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2013.0,0.0
2," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2015.0,0.0
3, SEMICONDUCTOR MACHINERY MANUFACTURING,2015.0,0.0
4, COATED AND LAMINATED PAPER MANUFACTURING,2016.0,0.0
5, LAMINATED ALUMINUM FOIL MANUFACTURING FOR FLEXIBLE PACKAGING USES,2013.0,0.0
6, REAL ESTATE INVESTMENT TRUSTS,2012.0,0.0
7, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2016.0,0.0
8, PULP MILLS,2014.0,0.0
9," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2013.0,0.0
10, OPEN-END INVESTMENT FUNDS,2012.0,0.0
11, PENSION FUNDS,2010.0,0.0
12, DISCOUNT DEPARTMENT STORES,2016.0,0.0
13, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2016.0,0.0
14, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2015.0,0.0
15, COMMERCIAL FLEXOGRAPHIC PRINTING,2013.0,0.0
16, HEATING OIL DEALERS,2016.0,0.0
17," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2015.0,0.0
18, PREPRESS SERVICES,2014.0,0.0
19, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2016.0,0.0
20, CHILDREN'S AND INFANTS' CLOTHING STORES,2015.0,0.0
21, CIGARETTE MANUFACTURING,2010.0,0.0
22, CONVENIENCE STORES,2010.0,0.0
23, SCHIFFLI MACHINE EMBROIDERY,2013.0,0.0
24, SCHIFFLI MACHINE EMBROIDERY,2016.0,0.0
25, WEFT KNIT FABRIC MILLS,2011.0,0.0
26," ROPE, CORDAGE, AND TWINE MILLS",2014.0,0.0
27, TIRE CORD AND TIRE FABRIC MILLS,2014.0,0.0
28, LUGGAGE MANUFACTURING,2016.0,0.0
29, MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING,2015.0,0.0
30, MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,2016.0,0.0
31, OFFICES OF BANK HOLDING COMPANIES,2015.0,0.0
32, MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,2014.0,0.0
33, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2011.0,0.0
34, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2010.0,0.0
35, HOUSE SLIPPER MANUFACTURING,2014.0,0.0
36, HOUSE SLIPPER MANUFACTURING,2015.0,0.0
37, MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,2015.0,0.0
38, FAMILY PLANNING CENTERS,2010.0,0.0
39, INORGANIC DYE AND PIGMENT MANUFACTURING,2013.0,0.0
40, SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2015.0,0.0
41, ALL OTHER INFORMATION SERVICES,2016.0,0.0
42, ALL OTHER INFORMATION SERVICES,2010.0,0.0
43, PRIMARY ALUMINUM PRODUCTION,2013.0,0.0
44, ALUMINA REFINING,2016.0,0.0
45, ALUMINA REFINING,2013.0,0.0
46, ON-LINE INFORMATION SERVICES,2015.0,0.0
47, ON-LINE INFORMATION SERVICES,2012.0,0.0
48, PRIMARY ALUMINUM PRODUCTION,2015.0,0.0
49, LIBRARIES AND ARCHIVES,2015.0,0.0
50, NEWS SYNDICATES,2011.0,0.0
