,naics_code,fiscal_year,base_and_all_options_value
0, UNCLASSIFIED ESTABLISHMENTS,2011.0,0.0
1, CIGARETTE MANUFACTURING,2010.0,0.0
2, SECONDARY MARKET FINANCING,2013.0,0.0
3, SNACK AND NONALCOHOLIC BEVERAGE BARS,2015.0,0.0
4, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2011.0,0.0
5," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND CONSTRUCTION MATERIAL WHOLESALERS",2012.0,0.0
6, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2012.0,0.0
7," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES WHOLESALERS",2015.0,0.0
8, OFFICE EQUIPMENT WHOLESALERS,2014.0,0.0
9, FURNITURE WHOLESALERS,2016.0,0.0
10, SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2015.0,0.0
11, SCHIFFLI MACHINE EMBROIDERY,2013.0,0.0
12, INORGANIC DYE AND PIGMENT MANUFACTURING,2015.0,0.0
13, INORGANIC DYE AND PIGMENT MANUFACTURING,2013.0,0.0
14, SCHIFFLI MACHINE EMBROIDERY,2016.0,0.0
15, WEFT KNIT FABRIC MILLS,2011.0,0.0
16, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2012.0,0.0
17, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2016.0,0.0
18, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2013.0,0.0
19, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2016.0,0.0
20, NEWS SYNDICATES,2011.0,0.0
21, LIBRARIES AND ARCHIVES,2012.0,0.0
22, LIBRARIES AND ARCHIVES,2015.0,0.0
23, ON-LINE INFORMATION SERVICES,2012.0,0.0
24, ON-LINE INFORMATION SERVICES,2015.0,0.0
25, ALL OTHER INFORMATION SERVICES,2010.0,0.0
26, OPEN-END INVESTMENT FUNDS,2012.0,0.0
27, TEXTILE BAG MILLS,2014.0,0.0
28, SURFACE ACTIVE AGENT MANUFACTURING,2015.0,0.0
29, DATA PROCESSING SERVICES,2016.0,0.0
30, REAL ESTATE INVESTMENT TRUSTS,2012.0,0.0
31, PETROLEUM BULK STATIONS AND TERMINALS,2016.0,0.0
32, PETROLEUM BULK STATIONS AND TERMINALS,2013.0,0.0
33, MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,2014.0,0.0
34, FRESH FRUIT AND VEGETABLE WHOLESALERS,2010.0,0.0
35, STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2016.0,0.0
36, ALL OTHER INFORMATION SERVICES,2016.0,0.0
37, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2013.0,0.0
38, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2016.0,0.0
39," ROPE, CORDAGE, AND TWINE MILLS",2014.0,0.0
40, LUGGAGE MANUFACTURING,2016.0,0.0
41, WEB SEARCH PORTALS,2013.0,0.0
42, WEB SEARCH PORTALS,2014.0,0.0
43, CASINOS (EXCEPT CASINO HOTELS),2014.0,0.0
44, LAMINATED ALUMINUM FOIL MANUFACTURING FOR FLEXIBLE PACKAGING USES,2013.0,0.0
45, WEB SEARCH PORTALS,2016.0,0.0
46," WATCH, CLOCK, AND PART MANUFACTURING",2014.0,0.0
47, OTHER TELECOMMUNICATIONS,2014.0,0.0
48," DATA PROCESSING, HOSTING, AND RELATED SERVICES",2011.0,0.0
49, DUAL-PURPOSE CATTLE RANCHING AND FARMING,2015.0,0.0
50," WATCH, CLOCK, AND PART MANUFACTURING",2016.0,0.0
51, OTHER GAMBLING INDUSTRIES,2015.0,0.0
52, COATED AND LAMINATED PAPER MANUFACTURING,2016.0,0.0
53," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2015.0,0.0
54," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2013.0,0.0
55, PULP MILLS,2014.0,0.0
56, PIPELINE TRANSPORTATION OF CRUDE OIL,2016.0,0.0
57, OTHER TELECOMMUNICATIONS,2014.0,0.0
58, HOUSE SLIPPER MANUFACTURING,2015.0,0.0
59, ELECTRONIC RESISTOR MANUFACTURING,2016.0,0.0
60, TIRE CORD AND TIRE FABRIC MILLS,2014.0,0.0
61, INTERNET PUBLISHING AND BROADCASTING,2014.0,0.0
62, INTERNET PUBLISHING AND BROADCASTING,2015.0,0.0
63, PREPRESS SERVICES,2014.0,0.0
64, INTERNET PUBLISHING AND BROADCASTING,2016.0,0.0
65, SNACK AND NONALCOHOLIC BEVERAGE BARS,2013.0,0.0
66, SNACK AND NONALCOHOLIC BEVERAGE BARS,2010.0,0.0
67, HOUSE SLIPPER MANUFACTURING,2014.0,0.0
68," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2013.0,0.0
69, FULL-SERVICE RESTAURANTS,2016.0,0.0
70, MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,2015.0,0.0
71, MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,2016.0,0.0
72, COMMERCIAL FLEXOGRAPHIC PRINTING,2013.0,0.0
73, FUR AND LEATHER APPAREL MANUFACTURING,2013.0,0.0
74, ELECTRONIC RESISTOR MANUFACTURING,2014.0,0.0
75, ELECTRONIC RESISTOR MANUFACTURING,2015.0,0.0
76, MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING,2015.0,0.0
77, SATELLITE TELECOMMUNICATIONS,2010.0,0.0
78, SKIING FACILITIES,2014.0,0.0
79, SEMICONDUCTOR MACHINERY MANUFACTURING,2015.0,0.0
80, ALUMINA REFINING,2016.0,0.0
81, ALUMINA REFINING,2013.0,0.0
82, HIGHWAY AND STREET CONSTRUCTION,2010.0,0.0
83, HIGHWAY AND STREET CONSTRUCTION,2011.0,0.0
84, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2013.0,0.0
85, HIGHWAY AND STREET CONSTRUCTION,2012.0,0.0
86, HIGHWAY AND STREET CONSTRUCTION,2013.0,0.0
87, NONFERROUS METAL DIE-CASTING FOUNDRIES,2014.0,0.0
88, BRIDGE AND TUNNEL CONSTRUCTION,2011.0,0.0
89, PENSION FUNDS,2010.0,0.0
90, POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,2011.0,0.0
91, POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,2012.0,0.0
92, TELECOMMUNICATIONS RESELLERS,2016.0,0.0
93, PAINTING AND WALL COVERING CONTRACTORS,2012.0,0.0
94, CARPENTRY CONTRACTORS,2011.0,0.0
95, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2013.0,0.0
96," WATER, SEWER, AND PIPELINE CONSTRUCTION",2013.0,0.0
97, CONCRETE CONTRACTORS,2011.0,0.0
98, DRY PEA AND BEAN FARMING,2012.0,0.0
99, PRIMARY ALUMINUM PRODUCTION,2013.0,0.0
100, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2010.0,0.0
101, DISCOUNT DEPARTMENT STORES,2016.0,0.0
102, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2011.0,0.0
103," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2015.0,0.0
104," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2013.0,0.0
105, SUPPORT ACTIVITIES FOR COAL MINING,2014.0,0.0
106, OTHER ALUMINUM ROLLING AND DRAWING,2016.0,0.0
107, COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2016.0,0.0
108, OTHER ALUMINUM ROLLING AND DRAWING,2014.0,0.0
109, CHILDREN'S AND INFANTS' CLOTHING STORES,2015.0,0.0
110, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2013.0,0.0
111, NONFERROUS (EXCEPT ALUMINUM) DIE-CASTING FOUNDRIES,2010.0,0.0
112, MULTIFAMILY HOUSING CONSTRUCTION,2011.0,0.0
113, MULTIFAMILY HOUSING CONSTRUCTION,2012.0,0.0
114, MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,2012.0,0.0
115, PRIMARY ALUMINUM PRODUCTION,2015.0,0.0
116, NUCLEAR ELECTRIC POWER GENERATION,2015.0,0.0
117, BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,2013.0,0.0
118, ALL OTHER HEAVY CONSTRUCTION,2013.0,0.0
119, CREAMERY BUTTER MANUFACTURING,2010.0,0.0
120, OFFICES OF BANK HOLDING COMPANIES,2015.0,0.0
121, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2016.0,0.0
122, OTHER OILSEED PROCESSING,2015.0,0.0
123, CLAY BUILDING MATERIAL AND REFRACTORIES MANUFACTURING,2014.0,0.0
124, CONFECTIONERY MERCHANT WHOLESALERS,2014.0,0.0
125, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2016.0,0.0
126, CONVENIENCE STORES,2010.0,0.0
127, CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2010.0,0.0
128, FOOD PRODUCT MACHINERY MANUFACTURING,2014.0,0.0
129, PAGING,2010.0,0.0
130, HEATING OIL DEALERS,2016.0,0.0
131, FAMILY PLANNING CENTERS,2010.0,0.0
132, BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,2015.0,0.0
133, POLITICAL ORGANIZATIONS,2010.0,0.0
134, WIRED TELECOMMUNICATIONS CARRIERS,2014.0,0.0
135, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2015.0,0.0
136, SPRING (HEAVY GAUGE) MANUFACTURING,2013.0,0.41
137, SPRING (HEAVY GAUGE) MANUFACTURING,2010.0,10.58
138, CREDIT CARD ISSUING,2016.0,35.0
139, TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2014.0,73.5
140, GUM AND WOOD CHEMICAL MANUFACTURING,2010.0,103.77
141, LUGGAGE MANUFACTURING,2014.0,187.9
142, FULL-SERVICE RESTAURANTS,2015.0,294.0
143, CLAY REFRACTORY MANUFACTURING,2010.0,308.16
144, DANCE COMPANIES,2010.0,350.0
145, RECORD PRODUCTION,2016.0,374.0
146, PAPER INDUSTRY MACHINERY MANUFACTURING,2013.0,399.32
147, GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,2016.0,418.5
148, NONCELLULOSIC ORGANIC FIBER MANUFACTURING,2010.0,457.5
149, COMMODITY CONTRACTS DEALING,2012.0,458.05
150, COPPER ORE AND NICKEL ORE MINING,2015.0,538.92
151, STEEL FOUNDRIES (EXCEPT INVESTMENT),2014.0,542.5
152, STEEL INVESTMENT FOUNDRIES,2010.0,714.0
153, BEAUTY SALONS,2010.0,720.0
154, THREAD MILLS,2016.0,912.0
155, SPRING MANUFACTURING,2012.0,926.64
156, GOLF COURSES AND COUNTRY CLUBS,2013.0,928.0
157, ALL OTHER MOTOR VEHICLE DEALERS,2015.0,1000.0
158, REAL ESTATE INVESTMENT TRUSTS,2011.0,1029.7
159, OFFICES OF BANK HOLDING COMPANIES,2012.0,1050.0
160, ALL OTHER SPECIAL TRADE CONTRACTORS,2010.0,1101.42
161, INDUSTRIAL MOLD MANUFACTURING,2014.0,1300.0
162, PAPERBOARD MILLS,2014.0,1397.0
163, DRY PEA AND BEAN FARMING,2011.0,1420.75
164, OPEN-END INVESTMENT FUNDS,2011.0,1500.0
165, ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),2014.0,1500.0
166, HARDWARE WHOLESALERS,2010.0,1560.55
167, OFFICES OF BANK HOLDING COMPANIES,2013.0,1600.0
168, COMMUNITY FOOD SERVICES,2014.0,1758.75
169, HUMAN RIGHTS ORGANIZATIONS,2014.0,1800.0
170, PHOSPHATIC FERTILIZER MANUFACTURING,2016.0,2395.0
171, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2014.0,2567.32
172," EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2014.0,2634.65
173, ADMINISTRATION OF VETERANS' AFFAIRS,2016.0,2818.0
174, CARBON BLACK MANUFACTURING,2011.0,2900.0
175, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2010.0,2998.0
