,naics_code,fiscal_year,base_and_all_options_value
0, OTHER COMMERCIAL EQUIPMENT WHOLESALERS,2000,0.0
1, MOTOR VEHICLE METAL STAMPING,2004,0.0
2, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2001,0.0
3, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2002,0.0
4, GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,2000,0.0
5, RAILROAD ROLLING STOCK MANUFACTURING,2001,0.0
6, RAILROAD ROLLING STOCK MANUFACTURING,2000,0.0
7, RAILROAD ROLLING STOCK MANUFACTURING,2003,0.0
8," MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING",2001,0.0
9, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2001,0.0
10, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2002,0.0
11, UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2002,0.0
12, METAL HOUSEHOLD FURNITURE MANUFACTURING,2000,0.0
13, HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2000,0.0
14, HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2001,0.0
15," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2001,0.0
16," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2002,0.0
17," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2003,0.0
18, CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING,2001,0.0
19, CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING,2002,0.0
20, MATTRESS MANUFACTURING,2000,0.0
21, MATTRESS MANUFACTURING,2001,0.0
22, MISCELLANEOUS MANUFACTURING,2001,0.0
23, OPHTHALMIC GOODS MANUFACTURING,2001,0.0
24, MOTOR VEHICLE METAL STAMPING,2003,0.0
25, MOTOR VEHICLE METAL STAMPING,2002,0.0
26, MOTOR VEHICLE METAL STAMPING,2001,0.0
27, MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,2001,0.0
28, STORAGE BATTERY MANUFACTURING,2000,0.0
29, FIBER OPTIC CABLE MANUFACTURING,2000,0.0
30, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2000,0.0
31, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2001,0.0
32, CARBON AND GRAPHITE PRODUCT MANUFACTURING,2001,0.0
33, LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2000,0.0
34, HEAVY DUTY TRUCK MANUFACTURING,2001,0.0
35, MOTOR VEHICLE BODY AND TRAILER MANUFACTURING,2001,0.0
36, TRUCK TRAILER MANUFACTURING,2000,0.0
37, TRUCK TRAILER MANUFACTURING,2001,0.0
38, MOTOR HOME MANUFACTURING,2001,0.0
39, DENTAL LABORATORIES,2000,0.0
40, MOTOR HOME MANUFACTURING,2003,0.0
41, TRAVEL TRAILER AND CAMPER MANUFACTURING,2003,0.0
42," CARBURETOR, PISTON, PISTON RING, AND VALVE MANUFACTURING",2001,0.0
43, GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,2001,0.0
44, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2001,0.0
45, OTHER MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,2001,0.0
46, MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,2001,0.0
47, MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,2002,0.0
48, MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,2004,0.0
49, MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING,2001,0.0
50, MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,2000,0.0
51, MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,2001,0.0
52, TRAVEL TRAILER AND CAMPER MANUFACTURING,2001,0.0
53, RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2000,0.0
54, DENTAL LABORATORIES,2001,0.0
55, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2004,0.0
56, BURIAL CASKET MANUFACTURING,2001,0.0
57, BURIAL CASKET MANUFACTURING,2002,0.0
58, BURIAL CASKET MANUFACTURING,2004,0.0
59, AUTOMOBILE AND OTHER MOTOR VEHICLE WHOLESALERS,2000,0.0
60, AUTOMOBILE AND OTHER MOTOR VEHICLE WHOLESALERS,2006,0.0
61, MOTOR VEHICLE SUPPLIES AND NEW PARTS WHOLESALERS,2000,0.0
62, MOTOR VEHICLE SUPPLIES AND NEW PARTS WHOLESALERS,2001,0.0
63, TIRE AND TUBE WHOLESALERS,2001,0.0
64, TIRE AND TUBE WHOLESALERS,2003,0.0
65, TIRE AND TUBE WHOLESALERS,2005,0.0
66, TIRE AND TUBE WHOLESALERS,2006,0.0
67, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2001,0.0
68, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2002,0.0
69, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2003,0.0
70, FURNITURE AND HOME FURNISHING WHOLESALERS,2001,0.0
71, FURNITURE WHOLESALERS,2000,0.0
72, FURNITURE WHOLESALERS,2001,0.0
73, FURNITURE WHOLESALERS,2002,0.0
74, FURNITURE WHOLESALERS,2003,0.0
75, HOME FURNISHING WHOLESALERS,2001,0.0
76, HOME FURNISHING WHOLESALERS,2002,0.0
77, HOME FURNISHING WHOLESALERS,2003,0.0
78, HOME FURNISHING WHOLESALERS,2005,0.0
79," FASTENER, BUTTON, NEEDLE, AND PIN MANUFACTURING",2001,0.0
80, MUSICAL INSTRUMENT MANUFACTURING,2001,0.0
81, ALL OTHER MISCELLANEOUS MANUFACTURING,2002,0.0
82, ALL OTHER MISCELLANEOUS MANUFACTURING,2001,0.0
83, SILVERWARE AND HOLLOWWARE MANUFACTURING,2001,0.0
84, SILVERWARE AND HOLLOWWARE MANUFACTURING,2003,0.0
85, SILVERWARE AND HOLLOWWARE MANUFACTURING,2004,0.0
86, SILVERWARE AND HOLLOWWARE MANUFACTURING,2009,0.0
87, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2004,0.0
88, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2006,0.0
89, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2007,0.0
90, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2001,0.0
91, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2002,0.0
92, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2003,0.0
93, DOLL AND STUFFED TOY MANUFACTURING,2002,0.0
94, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2001,0.0
95, DOLL AND STUFFED TOY MANUFACTURING,2003,0.0
96, PEN AND MECHANICAL PENCIL MANUFACTURING,2000,0.0
97, PEN AND MECHANICAL PENCIL MANUFACTURING,2001,0.0
98, PEN AND MECHANICAL PENCIL MANUFACTURING,2002,0.0
99, LEAD PENCIL AND ART GOOD MANUFACTURING,2000,0.0
100, LEAD PENCIL AND ART GOOD MANUFACTURING,2001,0.0
101, LEAD PENCIL AND ART GOOD MANUFACTURING,2002,0.0
102, LEAD PENCIL AND ART GOOD MANUFACTURING,2003,0.0
103, MARKING DEVICE MANUFACTURING,2000,0.0
104, MARKING DEVICE MANUFACTURING,2001,0.0
105, MARKING DEVICE MANUFACTURING,2002,0.0
106, MARKING DEVICE MANUFACTURING,2003,0.0
107, DOLL AND STUFFED TOY MANUFACTURING,2005,0.0
108, SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2000,0.0
109, MOTOR AND GENERATOR MANUFACTURING,2000,0.0
110, ELECTRICAL EQUIPMENT MANUFACTURING,2001,0.0
111, PAPER INDUSTRY MACHINERY MANUFACTURING,2001,0.0
112, PAPER INDUSTRY MACHINERY MANUFACTURING,2002,0.0
113, TEXTILE MACHINERY MANUFACTURING,2000,0.0
114, TEXTILE MACHINERY MANUFACTURING,2001,0.0
115, TEXTILE MACHINERY MANUFACTURING,2002,0.0
116, TEXTILE MACHINERY MANUFACTURING,2003,0.0
117, FOOD PRODUCT MACHINERY MANUFACTURING,2001,0.0
118, FOOD PRODUCT MACHINERY MANUFACTURING,2003,0.0
119, SEMICONDUCTOR MACHINERY MANUFACTURING,2001,0.0
120, SEMICONDUCTOR MACHINERY MANUFACTURING,2002,0.0
121, AUTOMATIC VENDING MACHINE MANUFACTURING,2001,0.0
122, AUTOMATIC VENDING MACHINE MANUFACTURING,2002,0.0
123," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2000,0.0
124," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2001,0.0
125, PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2000,0.0
126, AIR PURIFICATION EQUIPMENT MANUFACTURING,2001,0.0
127, INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,2001,0.0
128, INDUSTRIAL MOLD MANUFACTURING,2001,0.0
129, MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,2001,0.0
130, MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,2001,0.0
131, MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,2003,0.0
132," SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",2001,0.0
133," SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",2002,0.0
134, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2003,0.0
135, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2002,0.0
136, OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,2003,0.0
137, OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,2001,0.0
138, PRECISION TURNED PRODUCT MANUFACTURING,2003,0.0
139, METAL HEAT TREATING,2001,0.0
140, METAL HEAT TREATING,2002,0.0
141," ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2001,0.0
142," ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2002,0.0
143, INDUSTRIAL VALVE MANUFACTURING,2000,0.0
144, INDUSTRIAL VALVE MANUFACTURING,2001,0.0
145, OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,2001,0.0
146, BALL AND ROLLER BEARING MANUFACTURING,2000,0.0
147, BALL AND ROLLER BEARING MANUFACTURING,2001,0.0
148, SMALL ARMS AMMUNITION MANUFACTURING,2000,0.0
149, ROLLING MILL MACHINERY AND EQUIPMENT MANUFACTURING,2001,0.0
150, SMALL ARMS AMMUNITION MANUFACTURING,2001,0.0
151, OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2000,0.0
152, FABRICATED PIPE AND PIPE FITTING MANUFACTURING,2001,0.0
153, INDUSTRIAL PATTERN MANUFACTURING,2002,0.0
154, INDUSTRIAL PATTERN MANUFACTURING,2003,0.0
155, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2000,0.0
156, ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2002,0.0
157, MACHINERY MANUFACTURING,2001,0.0
158, LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2000,0.0
159, CONSTRUCTION MACHINERY MANUFACTURING,2001,0.0
160, MINING MACHINERY AND EQUIPMENT MANUFACTURING,2001,0.0
161, MINING MACHINERY AND EQUIPMENT MANUFACTURING,2003,0.0
162," SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",2001,0.0
163, ROLLING MILL MACHINERY AND EQUIPMENT MANUFACTURING,2002,0.0
164, ROLLING MILL MACHINERY AND EQUIPMENT MANUFACTURING,2003,0.0
165, TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,2000,0.0
